Date,Open Price,High Price,Low Price,Close Price
2023-05-30T18:30:00.000Z,231.0,231.8,229.0,231.4
2023-05-31T18:30:00.000Z,231.65,232.25,229.95,230.25
2023-06-01T18:30:00.000Z,231.0,232.45,229.25,230.6
2023-06-04T18:30:00.000Z,232.95,233.3,229.85,230.4
2023-06-05T18:30:00.000Z,231.6,231.6,228.25,229.55
2023-06-06T18:30:00.000Z,231.0,239.9,230.05,239.4
2023-06-07T18:30:00.000Z,240.0,240.25,235.0,235.3
2023-06-08T18:30:00.000Z,238.75,240.0,233.35,234.35
2023-06-11T18:30:00.000Z,233.55,235.4,232.8,233.45
2023-06-12T18:30:00.000Z,234.25,237.85,234.0,237.05
2023-06-13T18:30:00.000Z,237.5,253.1,236.5,251.1
2023-06-14T18:30:00.000Z,251.5,254.4,248.2,249.75
2023-06-14T18:30:00.000Z,251.5,254.4,248.2,249.75
2023-06-15T18:30:00.000Z,250.0,251.85,245.7,248.75
2023-06-18T18:30:00.000Z,250.0,251.7,247.65,248.45
2023-06-19T18:30:00.000Z,249.4,250.0,245.0,248.8
2023-06-20T18:30:00.000Z,249.55,256.8,245.7,247.2
2023-06-21T18:30:00.000Z,248.45,248.5,241.15,241.85
2023-06-22T18:30:00.000Z,242.75,242.9,238.05,241.3
2023-06-25T18:30:00.000Z,241.3,249.7,241.3,249.05
2023-06-26T18:30:00.000Z,249.5,250.4,245.25,246.6
2023-06-27T18:30:00.000Z,248.6,249.0,245.9,246.5
2023-06-29T18:30:00.000Z,248.5,249.35,245.8,247.95
2023-07-02T18:30:00.000Z,249.9,250.75,246.85,248.0
2023-07-03T18:30:00.000Z,249.5,249.75,246.1,247.0
2023-07-04T18:30:00.000Z,247.9,249.05,243.05,244.25
2023-07-05T18:30:00.000Z,244.95,245.15,243.05,243.7
2023-07-06T18:30:00.000Z,244.4,245.6,239.85,240.35
2023-07-09T18:30:00.000Z,241.45,241.45,237.7,240.3
2023-07-10T18:30:00.000Z,243.25,243.55,240.2,242.75
2023-07-11T18:30:00.000Z,243.0,245.45,243.0,244.25
2023-07-12T18:30:00.000Z,245.35,246.05,240.0,240.75
2023-07-13T18:30:00.000Z,240.8,244.75,240.05,244.1
2023-07-16T18:30:00.000Z,244.85,247.6,244.7,246.95
2023-07-17T18:30:00.000Z,247.75,249.8,245.0,248.25
2023-07-18T18:30:00.000Z,250.0,254.0,244.85,250.75
2023-07-19T18:30:00.000Z,246.5,253.9,246.5,252.65
2023-07-20T18:30:00.000Z,252.65,255.4,247.1,247.9
2023-07-23T18:30:00.000Z,249.15,251.65,247.4,250.25
2023-07-24T18:30:00.000Z,250.15,253.6,248.25,252.75
2023-07-25T18:30:00.000Z,252.0,258.8,252.0,254.25
2023-07-26T18:30:00.000Z,255.05,255.5,248.0,249.1
2023-07-27T18:30:00.000Z,249.9,251.65,247.7,250.95
2023-07-30T18:30:00.000Z,251.95,251.95,249.45,250.7
2023-07-31T18:30:00.000Z,252.1,253.0,250.0,251.95
2023-08-01T18:30:00.000Z,252.0,252.0,245.1,246.75
2023-08-02T18:30:00.000Z,247.95,247.95,244.4,245.55
2023-08-03T18:30:00.000Z,246.7,248.15,243.55,244.15
2023-08-03T18:30:00.000Z,246.7,248.15,243.55,244.15
2023-08-06T18:30:00.000Z,244.4,246.9,242.85,245.8
2023-08-07T18:30:00.000Z,247.0,251.1,244.4,249.05
2023-08-08T18:30:00.000Z,249.95,252.1,248.15,251.6
2023-08-09T18:30:00.000Z,251.55,253.35,249.05,249.3
2023-08-10T18:30:00.000Z,249.0,249.05,236.05,243.3
2023-08-13T18:30:00.000Z,242.0,247.45,242.0,246.9
2023-08-15T18:30:00.000Z,246.9,246.9,244.05,245.25
2023-08-16T18:30:00.000Z,245.6,247.2,243.5,246.45
2023-08-17T18:30:00.000Z,246.9,247.65,244.0,245.3
2023-08-20T18:30:00.000Z,245.9,247.7,244.55,247.0
2023-08-21T18:30:00.000Z,247.95,249.5,246.15,247.75
2023-08-22T18:30:00.000Z,248.95,248.95,244.95,245.7
2023-08-23T18:30:00.000Z,246.1,249.45,246.1,246.75
2023-08-24T18:30:00.000Z,246.7,247.9,243.5,244.55
2023-08-27T18:30:00.000Z,244.1,247.5,242.3,246.45
2023-08-28T18:30:00.000Z,245.5,248.35,243.0,245.3
2023-08-29T18:30:00.000Z,245.8,250.0,245.8,248.6
2023-08-30T18:30:00.000Z,246.05,248.85,244.75,245.7
2023-08-31T18:30:00.000Z,246.85,259.0,245.15,251.25
2023-09-03T18:30:00.000Z,253.55,253.8,249.05,250.45
2023-09-04T18:30:00.000Z,252.9,253.4,249.15,250.35
2023-09-05T18:30:00.000Z,252.05,260.8,250.15,259.1
2023-09-06T18:30:00.000Z,259.0,259.05,252.3,253.5
2023-09-07T18:30:00.000Z,254.9,254.9,251.0,251.3
2023-09-10T18:30:00.000Z,252.3,254.55,251.55,253.35
2023-09-11T18:30:00.000Z,254.0,256.75,250.35,252.4
2023-09-12T18:30:00.000Z,252.95,263.85,252.0,262.75
2023-09-13T18:30:00.000Z,265.3,268.9,260.0,260.9
2023-09-14T18:30:00.000Z,263.8,263.8,257.05,258.45
2023-09-17T18:30:00.000Z,258.45,262.75,257.55,259.0
2023-09-19T18:30:00.000Z,261.0,262.6,253.3,256.05
2023-09-20T18:30:00.000Z,256.2,257.45,254.1,255.6
2023-09-21T18:30:00.000Z,256.0,260.75,254.5,257.0
2023-09-24T18:30:00.000Z,257.0,264.8,255.1,263.5
2023-09-25T18:30:00.000Z,265.0,265.55,260.55,263.0
2023-09-26T18:30:00.000Z,262.85,265.5,260.25,262.0
2023-09-27T18:30:00.000Z,263.4,263.4,255.3,256.6
2023-09-28T18:30:00.000Z,257.9,258.9,255.55,257.05
2023-10-02T18:30:00.000Z,256.0,257.2,253.1,254.9
2023-10-03T18:30:00.000Z,255.0,255.05,250.05,253.0
2023-10-04T18:30:00.000Z,254.25,254.5,251.6,252.75
2023-10-05T18:30:00.000Z,254.95,257.6,253.15,256.45
2023-10-08T18:30:00.000Z,252.0,258.9,251.8,258.2
2023-10-09T18:30:00.000Z,260.0,262.55,258.45,259.7
2023-10-10T18:30:00.000Z,262.0,262.2,259.6,260.15
2023-10-11T18:30:00.000Z,260.0,261.6,258.6,261.1
2023-10-12T18:30:00.000Z,260.0,267.85,259.0,265.75
2023-10-15T18:30:00.000Z,267.3,269.0,262.1,262.75
2023-10-16T18:30:00.000Z,263.5,267.95,262.45,263.45
2023-10-17T18:30:00.000Z,264.0,264.0,258.65,260.1
2023-10-18T18:30:00.000Z,261.4,261.75,256.0,259.05
2023-10-19T18:30:00.000Z,257.15,259.95,256.1,258.7
2023-10-22T18:30:00.000Z,259.95,261.95,255.0,255.65
2023-10-24T18:30:00.000Z,255.0,259.45,255.0,257.85
2023-10-25T18:30:00.000Z,256.45,256.75,252.55,255.7
2023-10-26T18:30:00.000Z,257.9,260.05,255.5,258.2
2023-10-29T18:30:00.000Z,256.05,261.6,255.6,260.65
2023-10-30T18:30:00.000Z,262.0,263.9,260.1,263.0
2023-10-31T18:30:00.000Z,263.5,268.8,261.5,263.1
2023-11-01T18:30:00.000Z,264.5,266.9,263.0,265.7
2023-11-02T18:30:00.000Z,267.1,269.7,265.2,266.25
2023-11-05T18:30:00.000Z,268.1,270.95,267.35,268.15
2023-11-06T18:30:00.000Z,269.0,269.3,266.35,268.25
2023-11-07T18:30:00.000Z,269.6,273.4,268.3,269.1
2023-11-08T18:30:00.000Z,270.25,270.25,263.5,265.15
2023-11-09T18:30:00.000Z,265.0,270.95,263.05,269.75
2023-11-11T18:30:00.000Z,270.55,272.6,269.8,270.45
2023-11-11T18:30:00.000Z,270.55,272.6,269.8,270.45
2023-11-12T18:30:00.000Z,270.45,272.3,268.3,271.0
2023-11-14T18:30:00.000Z,273.0,276.7,271.65,275.25
2023-11-15T18:30:00.000Z,277.0,277.45,272.65,273.3
2023-11-16T18:30:00.000Z,272.95,277.9,272.25,276.55
2023-11-19T18:30:00.000Z,278.35,278.8,275.0,276.0
2023-11-20T18:30:00.000Z,276.0,276.4,274.0,275.0
2023-11-21T18:30:00.000Z,275.8,278.2,272.9,275.35
2023-11-22T18:30:00.000Z,275.5,277.35,274.5,276.0
2023-11-23T18:30:00.000Z,276.05,276.95,273.25,274.05
2023-11-27T18:30:00.000Z,274.05,275.9,273.45,275.35
2023-11-28T18:30:00.000Z,276.5,277.4,274.55,276.45
2023-11-29T18:30:00.000Z,276.45,280.5,276.25,277.9
2023-11-30T18:30:00.000Z,280.95,283.8,279.15,279.8
2023-12-03T18:30:00.000Z,283.9,285.95,280.5,281.9
2023-12-04T18:30:00.000Z,283.2,284.1,280.1,281.75
2023-12-05T18:30:00.000Z,281.35,286.3,281.35,283.35
2023-12-06T18:30:00.000Z,283.5,285.5,282.0,284.75
2023-12-07T18:30:00.000Z,285.7,286.5,281.0,282.55
2023-12-10T18:30:00.000Z,282.0,283.6,281.2,282.3
2023-12-11T18:30:00.000Z,282.6,285.65,280.65,281.55
2023-12-12T18:30:00.000Z,282.95,285.5,281.7,285.0
2023-12-13T18:30:00.000Z,286.0,286.0,282.0,283.15
2023-12-14T18:30:00.000Z,283.2,285.05,282.35,283.8
2023-12-17T18:30:00.000Z,284.05,284.3,281.8,283.0
2023-12-18T18:30:00.000Z,283.0,290.5,282.45,287.65
2023-12-19T18:30:00.000Z,290.0,301.25,288.5,290.9
2023-12-20T18:30:00.000Z,288.6,292.95,286.3,291.0
2023-12-21T18:30:00.000Z,293.7,296.6,290.9,294.75
2023-12-25T18:30:00.000Z,297.0,303.4,296.0,300.15
2023-12-26T18:30:00.000Z,301.7,304.75,300.55,304.1
2023-12-27T18:30:00.000Z,305.0,309.05,304.0,308.4
2023-12-28T18:30:00.000Z,312.0,322.45,311.0,320.8
2023-12-31T18:30:00.000Z,324.75,324.75,319.35,321.8
